Rank,date,fullName,nationality
1,2016-01-01,Shakib Al Hasan,BAN
2,2016-01-01,Tillekeratne Dilshan,SL
3,2016-01-01,Glenn Maxwell,AUS
4,2016-01-01,James Faulkner,AUS
5,2016-01-01,Angelo Mathews,SL
6,2016-01-01,Mohammad Nabi,AFG
7,2016-01-01,Ravindra Jadeja,IND
8,2016-01-01,Moeen Ali,ENG
9,2016-01-01,Paul Stirling,IRE
10,2016-01-01,Andre Russell,WI
11,2016-01-01,JP Duminy,SA
12,2016-01-01,Mohammad Nasir Hossain,BAN
13,2016-01-01,Marlon Samuels,WI
14,2016-01-01,Kevin O'Brien,IRE
15,2016-01-01,Suresh Raina,IND
16,2016-01-01,Mahmudullah,BAN
17,2016-01-01,Sean Williams,ZIM
18,2016-01-01,Mitchell Starc,AUS
19,2016-01-01,Corey Anderson,NZ
20,2016-01-01,Ravichandran Ashwin,IND
1,2016-01-02,Shakib Al Hasan,BAN
2,2016-01-02,Tillekeratne Dilshan,SL
3,2016-01-02,Glenn Maxwell,AUS
4,2016-01-02,James Faulkner,AUS
5,2016-01-02,Angelo Mathews,SL
6,2016-01-02,Mohammad Nabi,AFG
7,2016-01-02,Ravindra Jadeja,IND
8,2016-01-02,Moeen Ali,ENG
9,2016-01-02,Paul Stirling,IRE
10,2016-01-02,Andre Russell,WI
11,2016-01-02,JP Duminy,SA
12,2016-01-02,Mohammad Nasir Hossain,BAN
13,2016-01-02,Marlon Samuels,WI
14,2016-01-02,Kevin O'Brien,IRE
15,2016-01-02,Suresh Raina,IND
16,2016-01-02,Mahmudullah,BAN
17,2016-01-02,Mitchell Starc,AUS
18,2016-01-02,Sean Williams,ZIM
19,2016-01-02,Corey Anderson,NZ
20,2016-01-02,Ravichandran Ashwin,IND
1,2016-01-03,Shakib Al Hasan,BAN
2,2016-01-03,Tillekeratne Dilshan,SL
3,2016-01-03,Glenn Maxwell,AUS
4,2016-01-03,James Faulkner,AUS
5,2016-01-03,Angelo Mathews,SL
6,2016-01-03,Mohammad Nabi,AFG
7,2016-01-03,Ravindra Jadeja,IND
8,2016-01-03,Moeen Ali,ENG
9,2016-01-03,Paul Stirling,IRE
10,2016-01-03,Andre Russell,WI
11,2016-01-03,JP Duminy,SA
12,2016-01-03,Mohammad Nasir Hossain,BAN
13,2016-01-03,Marlon Samuels,WI
14,2016-01-03,Kevin O'Brien,IRE
15,2016-01-03,Suresh Raina,IND
16,2016-01-03,Mahmudullah,BAN
17,2016-01-03,Mitchell Starc,AUS
18,2016-01-03,Sean Williams,ZIM
19,2016-01-03,Corey Anderson,NZ
20,2016-01-03,Ravichandran Ashwin,IND
1,2016-01-04,Shakib Al Hasan,BAN
2,2016-01-04,Tillekeratne Dilshan,SL
3,2016-01-04,Glenn Maxwell,AUS
4,2016-01-04,James Faulkner,AUS
5,2016-01-04,Angelo Mathews,SL
6,2016-01-04,Ravindra Jadeja,IND
7,2016-01-04,Moeen Ali,ENG
8,2016-01-04,Mohammad Nabi,AFG
9,2016-01-04,Paul Stirling,IRE
10,2016-01-04,Andre Russell,WI
11,2016-01-04,JP Duminy,SA
12,2016-01-04,Mohammad Nasir Hossain,BAN
13,2016-01-04,Marlon Samuels,WI
14,2016-01-04,Kevin O'Brien,IRE
